"Entry Id","Sports (e.g. Baseball, Football, ...)","Crime Data (e.g. FBI Database)","Health - fitness","Health - diseases","Movies (e.g. ratings, box office revenues, ...)","Climate/Environment/Weather","Traveling (e.g. flight delays, tarmac waits, airport performance, ...)","Environmental Data (e.g. pollution, fuel economy, CO2 emissions, ...)","Salaries - economics, financial data","Global issues: comparison across countries","Other topic(s)","Description","Date Created","Created By","Last Updated","Updated By","IP Address","Last Page Accessed","Completion Status"
"614","Favorite","Favorite","Like it very much","Like it very much","Like it very much","Favorite","Like it very much","Favorite","Like it very much","Favorite","","","2019-08-27 10:34:12","public","","","129.186.253.102","1","1"
"615","Favorite","Favorite","Like it very much","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2019-08-27 10:34:14","public","","","129.186.251.101","1","1"
"616","Favorite","Like it","Favorite","Like it","Don't like it that much","Like it very much","Favorite","Favorite","Favorite","Favorite","","","2019-08-27 10:34:21","public","","","129.186.248.97","1","1"
"617","Like it very much","Like it","Like it","Like it","Like it","Favorite","Favorite","Favorite","Like it very much","Favorite","","","2019-08-27 10:34:21","public","","","129.186.251.101","1","1"
"618","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2019-08-27 10:34:23","public","","","129.186.251.101","1","1"
"619","Favorite","Like it very much","Like it","Like it","Like it very much","Like it very much","Like it","Like it very much","Like it very much","Like it very much","Agriculture","Yield data, soil data, physiological data; literally almost anything","2019-08-27 10:34:26","public","","","129.186.253.102","1","1"
"620","Like it very much","Like it","Favorite","Don't like it that much","Don't like it that much","Favorite","Favorite","Favorite","Don't like it that much","Favorite","","","2019-08-27 10:34:29","public","","","129.186.251.101","1","1"
"621","Like it","Like it very much","Favorite","Favorite","Don't like it that much","Don't like it that much","Like it very much","Favorite","Like it","Favorite","","","2019-08-27 10:34:57","public","","","129.186.251.101","1","1"
"622","Don't like it that much","Like it","Like it","Like it","Don't like it that much","Favorite","Like it","Favorite","Like it","Favorite","","","2019-08-27 10:34:57","public","","","129.186.251.101","1","1"
"623","Don't like it that much","Like it very much","Favorite","Don't like it that much","Favorite","Don't like it that much","Like it very much","Don't like it that much","Like it","Like it very much","","","2019-08-27 10:34:58","public","","","129.186.251.101","1","1"
"624","Like it","Like it very much","Favorite","Favorite","Like it very much","Favorite","Favorite","Favorite","Favorite","Favorite","behavioral responses","","2019-08-27 10:35:06","public","","","129.186.251.101","1","1"
